APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,lon,lat,Property on map
2161015006,4/21/2022 0:00,Single Family,5416 N VELOZ AVE,LOS ANGELES,CA,91356,3,Buenpaso Productions Inc.,Alexis Lerman,323-373-6060,NULL,NULL,,NULL,-118.54012,34.16879,POINT (-118.54012 34.16879)
2241002019,1/24/2022 0:00,Non-Residential,14737 W FRIAR ST,VAN NUYS,CA,91411,6,Overland Direct Inc,Michael Cartwright,619-250-2013,NULL,NULL,,NULL,-118.45443,34.18583,POINT (-118.45443 34.18583)
2260003002,2/11/2022 0:00,Single Family,5001 N ODESSA AVE,LOS ANGELES,CA,91436,4,"Mortgage Vintage, Inc.",Alexander MacDougall,949-632-6145,NULL,NULL,,NULL,-118.4912,34.16122,POINT (-118.4912 34.16122)
2369028002,3/4/2022 0:00,Single Family,11700 W PICTURESQUE DR,LOS ANGELES,CA,91604,4,"Bayer Development, Inc.",Adam Rossman,310-592-4837,NULL,NULL,,NULL,-118.38737,34.14017,POINT (-118.38737 34.14017)
2664010002,1/6/2022 0:00,Single Family,15528 W DONMETZ ST,LOS ANGELES,CA,91345,7,Champion Mortgage,Jennifer Hathaway,972-894-2950,NULL,NULL,,NULL,-118.4705,34.27389,POINT (-118.4705 34.27389)
2669001030,6/24/2022 0:00,Single Family,10220 N DEMPSEY AVE,LOS ANGELES,CA,91343,12,"MO Financial, Inc",Jeffrey Donovan,310-552-5324,NULL,NULL,,NULL,-118.47702,34.25625,POINT (-118.47702 34.25625)
4329006013,1/24/2022 0:00,Single Family,10050 W EMPYREAN WAY,LOS ANGELES,CA,90067,5,Jason Propp,Jason Propp,310-892-6622,NULL,NULL,,NULL,-118.4068,34.05442,POINT (-118.4068 34.05442)
5089014034,1/25/2022 0:00,Multi-Family,823 S CURSON AVE,LOS ANGELES,CA,90036,5,"Witkin & Associates, LLC",Richard Witkin,818-585-7302,NULL,NULL,,NULL,-118.3561,34.0601,POINT (-118.3561 34.0601)
5304036003,11/16/2022 0:00,Vacant Residential,3773 E MERCURY AVE,LOS ANGELES,CA,90031,1,SUPERIOR LOAN SERVICING,BARRY HARARI,818-483-0027,NULL,NULL,,NULL,-118.19778,34.08498,POINT (-118.19778 34.08498)
6053025010,1/10/2022 0:00,Multi-Family,10110 S BROADWAY,LOS ANGELES,CA,90003,8,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.27794,33.94426,POINT (-118.27794 33.94426)
5156016017,3/20/2022 0:00,Multi-Family,2829 W HYANS ST 1-12,LOS ANGELES,CA,90026,13,Iridium LLC,Fred Doctorovich,310-994-2569,NULL,NULL,,NULL,-118.27888,34.07331,POINT (-118.27888 34.07331)
7415014020,8/1/2022 0:00,Single Family,1123 W PAPEETE ST,LOS ANGELES,CA,90744,15,Flagstar BANK,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.27708,33.78701,POINT (-118.27708 33.78701)
5576003037,7/14/2022 0:00,Multi-Family,2127 N WHITLEY AVE,LOS ANGELES,CA,90068,4,"Yarden Consulting LLC, a Delaware limited liability company",Vladimir Valsky,424-535-6099,NULL,NULL,,NULL,-118.33211,34.10944,POINT (-118.33211 34.10944)
5518019019,3/15/2022 0:00,Single Family,153 N CATALINA ST,LOS ANGELES,CA,90004,10,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.29559,34.07427,POINT (-118.29559 34.07427)
2328013053,5/18/2022 0:00,Multi-Family,13611 W VANOWEN ST,VAN NUYS,CA,91405,2,"Liberty Bank C/O Archways Real Estate Service, Inc.",Rusty Heyman,818-292-8728,"Archways Real Estate Service, Inc",Rusty Heyman,30101   AGOURA COURT SUITE 208   Agoura Hills CA 91301,818-292-8728,-118.42928,34.19408,POINT (-118.42928 34.19408)
2538017015,8/17/2022 0:00,Single Family,11003 W FENWAY ST,LOS ANGELES,CA,91352,7,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.37108,34.24943,POINT (-118.37108 34.24943)
2103019017,1/7/2022 0:00,Single Family,7806 N RHEA AVE,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.54136,34.21228,POINT (-118.54136 34.21228)
6048030005,10/13/2022 0:00,Single Family,9922 S BEACH ST,LOS ANGELES,CA,90002,15,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.24176,33.94599,POINT (-118.24176 33.94599)
5124023017,10/27/2022 0:00,Single Family,19 S ST JAMES PARK,LOS ANGELES,CA,90007,1,UNIVERSITY CREDIT UNION,ANGELA MACKEY,913-336-4771,SERVICELINK,CUSTOMER SERVICE,10685   WESTMORE DR 100 WESTMINSTER CO 80021,877-841-8544,-118.28001,34.03194,POINT (-118.28001 34.03194)
5163020109,3/2/2022 0:00,Single Family,500 E 1ST ST,LOS ANGELES,CA,90012,14,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.23787,34.04866,POINT (-118.23787 34.04866)
4379030014,8/4/2022 0:00,Single Family,14820 W MULHOLLAND DR,LOS ANGELES,CA,90077,5,WILIMINGTON SAVINGS FUND SOCIETY,SELECT SERVICING,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.45547,34.13255,POINT (-118.45547 34.13255)
4412001036,6/9/2022 0:00,Single Family,928 N HAVERFORD AVE,LOS ANGELES,CA,90272,11,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.52872,34.04804,POINT (-118.52872 34.04804)
5027004014,1/12/2022 0:00,Single Family,4404 W DON ZAREMBO DR,LOS ANGELES,CA,90008,8,"JPMorgan Chase Bank, N.A.",Operations Specialist I,888-310-1506,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.35225,34.00505,POINT (-118.35225 34.00505)
2688029068,3/15/2022 0:00,Single Family,16815 W PARTHENIA ST,LOS ANGELES,CA,91343,12,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.49862,34.22862,POINT (-118.49862 34.22862)
5020032017,1/24/2022 0:00,Multi-Family,924 3/4 W 41ST ST,LOS ANGELES,CA,90037,9,LC Equity Group Inc,Brian Getz,818-437-1723,Evergreen Mgmt Co,Steve Adler,1424   4th ST 777 santa monica CA 90401,310-587-3500,-118.29083,34.00901,POINT (-118.29083 34.00901)
5304011014,1/4/2022 0:00,Single Family,1236 E MONTECITO DR,LOS ANGELES,CA,90031,1,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.19805,34.08741,POINT (-118.19805 34.08741)
5462024021,1/7/2022 0:00,Multi-Family,2445 1/2 N HAVERHILL DR,LOS ANGELES,CA,90065,1,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.22382,34.11403,POINT (-118.22382 34.11403)
5041025020,8/22/2022 0:00,Multi-Family,1621 W 37TH PL,LOS ANGELES,CA,90018,8,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.30673,34.02009,POINT (-118.30673 34.02009)
