APN,Registered Date,Property Type,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lon,lat,Property on map
2004021037,1/10/2023,Single Family,22221 W TIOGA PL,LOS ANGELES,CA,91304,12,FREEDOM MORTGAGE SERVICES,BYRON GLADDEN,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.61194,34.22831,POINT (-118.61194 34.22831)
2005018009,1/11/2023,Single Family,8349 N HILLARY DR,LOS ANGELES,CA,93063,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.64078,34.221,POINT (-118.64078 34.221)
2010005010,2/7/2023,Single Family,21811 W GRESHAM ST,LOS ANGELES,CA,93063,12,Fay Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.60343,34.23144,POINT (-118.60343 34.23144)
2010021013,1/3/2023,Single Family,8944 N NEVADA AVE,LOS ANGELES,CA,93063,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.60738,34.23317,POINT (-118.60738 34.23317)
2012001104,3/17/2023,Single Family,22029 W CANTARA ST,LOS ANGELES,CA,93063,3,PHH Mortgage Corp,Shelly Stirrett,866-503-5559,Gary's Field Inspection Service,Gary Lopez,13084  S 182nd AVE  Goodyear AZ 85338,209-345-4681,-118.60637,34.21745,POINT (-118.60637 34.21745)
2012015011,2/9/2023,Single Family,22157 W INGOMAR ST,LOS ANGELES,CA,93063,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.6101,34.21207,POINT (-118.6101 34.21207)
2013009036,1/17/2023,Single Family,7814 N VICKY AVE,LOS ANGELES,CA,93063,12,Trinity Financial Services,Don Madden,949-313-6161,"Trinity Financial Services, LLC",Don Madden,2618   San Miguel DR 303 Newport Beach CA 92660,949-313-6161,-118.61933,34.21241,POINT (-118.61933 34.21241)
2013012024,3/17/2023,Single Family,7819 N SAUSALITO AVE,LOS ANGELES,CA,91304,12,LoanCare,ERIC MOORE,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.61584,34.21258,POINT (-118.61584 34.21258)
2013018028,2/16/2023,Single Family,7758 N VICKY AVE,LOS ANGELES,CA,93063,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx,Code Compliance,0   PO Box 874   Brandon FL 33509,877-339-8202,-118.61933,34.21169,POINT (-118.61933 34.21169)
2013025018,1/4/2023,Single Family,8121 N CAPISTRANO AVE,LOS ANGELES,CA,91304,12,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.61727,34.21714,POINT (-118.61727 34.21714)
